strain	treatment	time_min	rep1_CFU_per_mL	rep2_CFU_per_mL	rep3_CFU_per_mL
Bacillus subtilis	Untreated	0	4.00e+08	5.00e+08	3.00e+08
Bacillus subtilis	PL25_M23	0	5.00e+08	4.00e+08	6.00e+08
Bacillus subtilis	Untreated	30	4.00e+08	5.00e+08	3.00e+08
Bacillus subtilis	PL25_M23	30	2.00e+08	3.00e+08	9.00e+07
Bacillus subtilis	Untreated	60	4.00e+08	5.00e+08	3.00e+08
Bacillus subtilis	PL25_M23	60	6.00e+06	7.00e+05	4.00e+06
Bacillus subtilis	Untreated	120	4.00e+08	5.00e+08	3.00e+08
Bacillus subtilis	PL25_M23	120	5.00e+06	7.00e+05	3.00e+06
Bacillus subtilis	Untreated	180	4.00e+08	5.00e+08	3.00e+08
Bacillus subtilis	PL25_M23	180	4.00e+06	6.00e+05	3.00e+06
Staphylococcus warneri	Untreated	0	5.00e+08	3.00e+08	5.00e+08
Staphylococcus warneri	PL25_M23	0	4.00e+08	5.00e+08	6.00e+08
Staphylococcus warneri	Untreated	30	5.00e+08	3.00e+08	5.00e+08
Staphylococcus warneri	PL25_M23	30	2.00e+08	1.00e+08	2.00e+08
Staphylococcus warneri	Untreated	60	5.00e+08	3.00e+08	5.00e+08
Staphylococcus warneri	PL25_M23	60	4.00e+06	7.00e+05	5.00e+06
Staphylococcus warneri	Untreated	120	5.00e+08	3.00e+08	5.00e+08
Staphylococcus warneri	PL25_M23	120	2.00e+06	7.00e+05	4.00e+06
Staphylococcus warneri	Untreated	180	5.00e+08	3.00e+08	5.00e+08
Staphylococcus warneri	PL25_M23	180	2.00e+06	5.00e+05	3.00e+06
MRSA	Untreated	0	6.00e+08	3.00e+08	5.00e+08
MRSA	PL25_M23	0	6.00e+08	4.00e+08	3.00e+08
MRSA	Untreated	30	6.00e+08	3.00e+08	5.00e+08
MRSA	PL25_M23	30	2.00e+08	8.00e+07	2.00e+08
MRSA	Untreated	60	6.00e+08	3.00e+08	5.00e+08
MRSA	PL25_M23	60	6.00e+06	7.00e+05	5.00e+06
MRSA	Untreated	120	6.00e+08	3.00e+08	5.00e+08
MRSA	PL25_M23	120	5.00e+06	7.00e+05	3.00e+06
MRSA	Untreated	180	6.00e+08	3.00e+08	5.00e+08
MRSA	PL25_M23	180	4.00e+06	4.00e+05	3.00e+06
Virgibacillus salarius PL25	Untreated	0	5.00e+08	4.00e+08	5.00e+08
Virgibacillus salarius PL25	PL25_M23	0	4.00e+08	4.00e+08	6.00e+08
Virgibacillus salarius PL25	Untreated	30	5.00e+08	4.00e+08	5.00e+08
Virgibacillus salarius PL25	PL25_M23	30	1.00e+08	9.00e+07	2.00e+08
Virgibacillus salarius PL25	Untreated	60	5.00e+08	4.00e+08	5.00e+08
Virgibacillus salarius PL25	PL25_M23	60	5.00e+05	7.00e+05	4.00e+05
Virgibacillus salarius PL25	Untreated	120	5.00e+08	4.00e+08	5.00e+08
Virgibacillus salarius PL25	PL25_M23	120	4.00e+05	7.00e+05	3.00e+05
Virgibacillus salarius PL25	Untreated	180	5.00e+08	4.00e+08	5.00e+08
Virgibacillus salarius PL25	PL25_M23	180	3.00e+05	6.00e+05	3.00e+05
