locus_tag	ftype	length_bp	gene	EC_number	COG	product
PL25_00001	gene	300				
PL25_00001	CDS	300				hypothetical protein
PL25_00002	gene	378				
PL25_00002	CDS	378				hypothetical protein
PL25_00003	gene	330				
PL25_00003	CDS	330				hypothetical protein
PL25_00004	gene	111				
PL25_00004	CDS	111				hypothetical protein
PL25_00005	gene	264				
PL25_00005	CDS	264				hypothetical protein
PL25_00006	gene	438				
PL25_00006	CDS	438				hypothetical protein
PL25_00007	gene	147				
PL25_00007	CDS	147				hypothetical protein
PL25_00008	gene	1563				
PL25_00008	CDS	1563				hypothetical protein
PL25_00009	gene	291				
PL25_00009	CDS	291				hypothetical protein
PL25_00010	gene	972				
PL25_00010	CDS	972				hypothetical protein
PL25_00011	gene	165				
PL25_00011	CDS	165				hypothetical protein
PL25_00012	gene	156				
PL25_00012	CDS	156				hypothetical protein
PL25_00013	gene	171				
PL25_00013	CDS	171				hypothetical protein
PL25_00014	gene	144				
PL25_00014	CDS	144				hypothetical protein
PL25_00015	gene	108				
PL25_00015	CDS	108				hypothetical protein
PL25_00016	gene	180				
PL25_00016	CDS	180				hypothetical protein
PL25_00017	gene	255				
PL25_00017	CDS	255				hypothetical protein
PL25_00018	gene	1188				
PL25_00018	CDS	1188				hypothetical protein
PL25_00019	gene	240				
PL25_00019	CDS	240				hypothetical protein
PL25_00020	gene	189				
PL25_00020	CDS	189				hypothetical protein
PL25_00021	gene	261				
PL25_00021	CDS	261				hypothetical protein
PL25_00022	gene	186				
PL25_00022	CDS	186				hypothetical protein
PL25_00023	gene	213				
PL25_00023	CDS	213				hypothetical protein
PL25_00024	gene	633				
PL25_00024	CDS	633				hypothetical protein
PL25_00025	gene	300				
PL25_00025	CDS	300				hypothetical protein
PL25_00026	gene	378				
PL25_00026	CDS	378				hypothetical protein
PL25_00027	gene	330				
PL25_00027	CDS	330				hypothetical protein
PL25_00028	gene	111				
PL25_00028	CDS	111				hypothetical protein
PL25_00029	gene	264				
PL25_00029	CDS	264				hypothetical protein
PL25_00030	gene	438				
PL25_00030	CDS	438				hypothetical protein
PL25_00031	gene	147				
PL25_00031	CDS	147				hypothetical protein
PL25_00032	gene	1563				
PL25_00032	CDS	1563				hypothetical protein
PL25_00033	gene	1260				
PL25_00033	CDS	1260				hypothetical protein
PL25_00034	gene	165				
PL25_00034	CDS	165				hypothetical protein
PL25_00035	gene	156				
PL25_00035	CDS	156				hypothetical protein
PL25_00036	gene	171				
PL25_00036	CDS	171				hypothetical protein
PL25_00037	gene	144				
PL25_00037	CDS	144				hypothetical protein
PL25_00038	gene	108				
PL25_00038	CDS	108				hypothetical protein
PL25_00039	gene	180				
PL25_00039	CDS	180				hypothetical protein
PL25_00040	gene	255				
PL25_00040	CDS	255				hypothetical protein
PL25_00041	gene	1188				
PL25_00041	CDS	1188				hypothetical protein
PL25_00042	gene	240				
PL25_00042	CDS	240				hypothetical protein
PL25_00043	gene	189				
PL25_00043	CDS	189				hypothetical protein
PL25_00044	gene	261				
PL25_00044	CDS	261				hypothetical protein
PL25_00045	gene	186				
PL25_00045	CDS	186				hypothetical protein
PL25_00046	gene	213				
PL25_00046	CDS	213				hypothetical protein
PL25_00047	gene	633				
PL25_00047	CDS	633				hypothetical protein
PL25_00048	gene	300				
PL25_00048	CDS	300				hypothetical protein
PL25_00049	gene	378				
PL25_00049	CDS	378				hypothetical protein
PL25_00050	gene	330				
PL25_00050	CDS	330				hypothetical protein
PL25_00051	gene	111				
PL25_00051	CDS	111				hypothetical protein
PL25_00052	gene	264				
PL25_00052	CDS	264				hypothetical protein
PL25_00053	gene	438				
PL25_00053	CDS	438				hypothetical protein
PL25_00054	gene	147				
PL25_00054	CDS	147				hypothetical protein
PL25_00055	gene	1563				
PL25_00055	CDS	1563				hypothetical protein
PL25_00056	gene	1260				
PL25_00056	CDS	1260				hypothetical protein
PL25_00057	gene	165				
PL25_00057	CDS	165				hypothetical protein
PL25_00058	gene	156				
PL25_00058	CDS	156				hypothetical protein
PL25_00059	gene	171				
PL25_00059	CDS	171				hypothetical protein
PL25_00060	gene	144				
PL25_00060	CDS	144				hypothetical protein
PL25_00061	gene	108				
PL25_00061	CDS	108				hypothetical protein
PL25_00062	gene	180				
PL25_00062	CDS	180				hypothetical protein
PL25_00063	gene	255				
PL25_00063	CDS	255				hypothetical protein
PL25_00064	gene	1188				
PL25_00064	CDS	1188				hypothetical protein
PL25_00065	gene	240				
PL25_00065	CDS	240				hypothetical protein
PL25_00066	gene	189				
PL25_00066	CDS	189				hypothetical protein
PL25_00067	gene	261				
PL25_00067	CDS	261				hypothetical protein
PL25_00068	gene	186				
PL25_00068	CDS	186				hypothetical protein
PL25_00069	gene	213				
PL25_00069	CDS	213				hypothetical protein
PL25_00070	gene	279				
PL25_00070	CDS	279				hypothetical protein
PL25_00071	gene	471				
PL25_00071	CDS	471				hypothetical protein
PL25_00072	gene	177				
PL25_00072	CDS	177				hypothetical protein
PL25_00073	gene	312				
PL25_00073	CDS	312				hypothetical protein
PL25_00074	gene	498				
PL25_00074	CDS	498				hypothetical protein
PL25_00075	gene	207				
PL25_00075	CDS	207				hypothetical protein
PL25_00076	gene	1110				
PL25_00076	CDS	1110				hypothetical protein
PL25_00077	gene	555				
PL25_00077	CDS	555				hypothetical protein
PL25_00078	gene	1113				
PL25_00078	CDS	1113				hypothetical protein
PL25_00079	gene	693				
PL25_00079	CDS	693				hypothetical protein
PL25_00080	gene	2322				
PL25_00080	CDS	2322				hypothetical protein
PL25_00081	gene	555				
PL25_00081	CDS	555				hypothetical protein
PL25_00082	gene	2637				
PL25_00082	CDS	2637				hypothetical protein
PL25_00083	gene	525				
PL25_00083	CDS	525				hypothetical protein
PL25_00084	gene	219				
PL25_00084	CDS	219				hypothetical protein
PL25_00085	gene	1131				
PL25_00085	CDS	1131				hypothetical protein
PL25_00086	gene	225				
PL25_00086	CDS	225				hypothetical protein
PL25_00087	gene	291				
PL25_00087	CDS	291				hypothetical protein
PL25_00088	gene	603				
PL25_00088	CDS	603				hypothetical protein
PL25_00089	gene	357				
PL25_00089	CDS	357				hypothetical protein
PL25_00090	gene	1083				
PL25_00090	CDS	1083				hypothetical protein
PL25_00091	gene	459				
PL25_00091	CDS	459				hypothetical protein
PL25_00092	gene	525				
PL25_00092	CDS	525				hypothetical protein
PL25_00093	gene	1167				
PL25_00093	CDS	1167				hypothetical protein
PL25_00094	gene	2283	recD2_1			
PL25_00094	CDS	2283	recD2_1	5.6.2.3	COG0507	ATP-dependent RecD2 DNA helicase
PL25_00095	gene	507				
PL25_00095	CDS	507				hypothetical protein
PL25_00096	gene	249				
PL25_00096	CDS	249				hypothetical protein
PL25_00097	gene	141				
PL25_00097	CDS	141				hypothetical protein
PL25_00098	gene	1443	viaA			
PL25_00098	CDS	1443	viaA			Regulatory protein ViaA
