PL25_contig11 vs NZ_LDPV02000047.1
----------------------------------
Query       Target          Identity  Similarity
PL25_00074  WP_047980664.1  0.52      0.78      
PL25_00075  WP_047980665.1  0.47      0.60      
PL25_00076  WP_157052516.1  0.53      0.65      
PL25_00077  WP_157052515.1  0.50      0.61      
PL25_00078  WP_047980627.1  0.64      0.76      
PL25_00079  WP_047980628.1  0.50      0.65      
PL25_00080  WP_047980629.1  0.45      0.61      
PL25_00082  WP_064965386.1  0.72      0.83      
PL25_00083  WP_047980630.1  0.57      0.76      
PL25_00084  WP_047980631.1  0.39      0.74      
PL25_00085  WP_053351203.1  0.52      0.68      
PL25_00086  WP_047981722.1  0.70      0.85      
PL25_00087  WP_047981723.1  0.46      0.64      
PL25_00089  WP_047981724.1  0.45      0.64      
PL25_00090  WP_047981725.1  0.77      0.89      
PL25_00091  WP_053071940.1  0.53      0.69      
PL25_00092  WP_053351202.1  0.60      0.77      
PL25_00094  WP_053071945.1  0.69      0.81      
PL25_00095  WP_047981727.1  0.51      0.67      
PL25_00096  WP_047981728.1  0.54      0.63      
PL25_00098  WP_047981731.1  0.64      0.78      
PL25_00099  WP_047981732.1  0.75      0.85      
PL25_00101  WP_047981734.1  0.70      0.82      
PL25_00102  WP_047981735.1  0.64      0.77      
PL25_00103  WP_047981736.1  0.42      0.58      
PL25_00108  WP_157052512.1  0.34      0.53      
PL25_00109  WP_047981729.1  0.44      0.68      
PL25_00133  WP_047980642.1  0.78      0.87      
PL25_00135  WP_053071868.1  0.43      0.56      
PL25_00137  WP_047980670.1  0.73      0.82      
PL25_00138  WP_047980643.1  0.41      0.64      
PL25_00139  WP_047980644.1  0.70      0.79      
PL25_00140  WP_047980645.1  0.50      0.68      
PL25_00141  WP_047980646.1  0.68      0.80      
PL25_00142  WP_047980647.1  0.72      0.83      
PL25_00143  WP_047980648.1  0.65      0.75      
PL25_00144  WP_047980649.1  0.57      0.81      
PL25_00146  WP_157052518.1  0.55      0.75      
PL25_00147  WP_053071870.1  0.80      0.89      
PL25_00148  WP_053071871.1  0.66      0.77      
PL25_00149  WP_047980653.1  0.55      0.70      
PL25_00150  WP_047980654.1  0.60      0.72      
PL25_00151  WP_047980655.1  0.41      0.63      
PL25_00153  WP_053071872.1  0.59      0.78      
PL25_00154  WP_047980657.1  0.57      0.75      
PL25_00155  WP_047980658.1  0.61      0.78      
PL25_00156  WP_047980659.1  0.56      0.70      
PL25_00157  WP_157052517.1  0.41      0.72      
PL25_00158  WP_053071873.1  0.39      0.52      
PL25_00159  WP_047980660.1  0.63      0.82      
PL25_00160  WP_047980661.1  0.50      0.70      
PL25_00161  WP_047980662.1  0.59      0.75      

PL25_contig11 vs NZ_JARSFA010000044.1
-------------------------------------
Query       Target          Identity  Similarity
PL25_00074  WP_066194577.1  0.52      0.67      
PL25_00075  WP_066194575.1  0.47      0.62      
PL25_00076  WP_066194573.1  0.49      0.65      
PL25_00077  WP_066194570.1  0.35      0.48      
PL25_00078  WP_066194568.1  0.60      0.70      
PL25_00079  WP_142385413.1  0.42      0.56      
PL25_00080  WP_172940698.1  0.46      0.60      
PL25_00081  WP_066194559.1  0.45      0.58      
PL25_00082  WP_217282603.1  0.77      0.86      
PL25_00083  WP_066194556.1  0.56      0.76      
PL25_00084  WP_066194553.1  0.63      0.88      
PL25_00085  WP_066194550.1  0.56      0.72      
PL25_00086  WP_066194547.1  0.76      0.91      
PL25_00088  WP_066194545.1  0.59      0.74      
PL25_00089  WP_066194543.1  0.34      0.52      
PL25_00090  WP_066194540.1  0.69      0.79      
PL25_00091  WP_066194537.1  0.57      0.76      
PL25_00092  WP_066194535.1  0.44      0.59      
PL25_00094  WP_066194527.1  0.55      0.72      
PL25_00095  WP_066194523.1  0.50      0.67      
PL25_00096  WP_066194520.1  0.50      0.68      
PL25_00098  WP_066194507.1  0.60      0.73      
PL25_00099  WP_066194504.1  0.78      0.85      
PL25_00101  WP_066194501.1  0.65      0.81      
PL25_00102  WP_066194498.1  0.39      0.56      
PL25_00148  WP_459208863.1  0.37      0.42      
PL25_00149  WP_066194599.1  0.56      0.77      
PL25_00150  WP_083957295.1  0.58      0.74      
PL25_00153  WP_066194593.1  0.54      0.72      
PL25_00154  WP_066194590.1  0.48      0.67      
PL25_00155  WP_066194587.1  0.58      0.75      
PL25_00156  WP_066194585.1  0.59      0.74      
PL25_00157  WP_157090513.1  0.51      0.72      
PL25_00158  WP_066194582.1  0.52      0.67      
PL25_00159  WP_066194579.1  0.58      0.78      
PL25_00160  WP_083957294.1  0.51      0.63      
PL25_00161  WP_066194724.1  0.58      0.65      

PL25_contig11 vs NZ_JBCITH010000002.1
-------------------------------------
Query       Target          Identity  Similarity
PL25_00074  WP_269919974.1  0.43      0.62      
PL25_00075  WP_343191778.1  0.35      0.49      
PL25_00076  WP_343191777.1  0.34      0.51      
PL25_00077  WP_269919977.1  0.34      0.53      
PL25_00078  WP_343191776.1  0.54      0.68      
PL25_00079  WP_269919979.1  0.34      0.53      
PL25_00080  WP_343191775.1  0.33      0.49      
PL25_00081  WP_227092184.1  0.33      0.52      
PL25_00082  WP_343191780.1  0.48      0.55      
PL25_00083  WP_269919983.1  0.57      0.75      
PL25_00084  WP_269919984.1  0.46      0.64      
PL25_00085  WP_343191773.1  0.47      0.63      
PL25_00086  WP_269919985.1  0.64      0.77      
PL25_00087  WP_227092190.1  0.30      0.54      
PL25_00088  WP_227092191.1  0.54      0.72      
PL25_00089  WP_227092192.1  0.41      0.62      
PL25_00090  WP_227092193.1  0.67      0.81      
PL25_00091  WP_343191743.1  0.60      0.78      
PL25_00092  WP_227092194.1  0.31      0.54      
PL25_00094  WP_227092818.1  0.56      0.73      
PL25_00095  WP_343191767.1  0.37      0.55      
PL25_00096  WP_269919996.1  0.46      0.61      
PL25_00098  WP_269919999.1  0.46      0.61      
PL25_00099  WP_343191765.1  0.59      0.73      
PL25_00101  WP_343191764.1  0.53      0.68      
PL25_00102  WP_269919817.1  0.37      0.55      
PL25_00133  WP_227092925.1  0.66      0.77      
PL25_00136  WP_269919840.1  0.35      0.55      
PL25_00137  WP_343191748.1  0.45      0.66      
PL25_00139  WP_343191746.1  0.46      0.62      
PL25_00142  WP_227092147.1  0.33      0.49      
PL25_00144  WP_340499824.1  0.32      0.40      
PL25_00146  WP_343191744.1  0.44      0.63      
PL25_00147  WP_342021181.1  0.75      0.86      
PL25_00148  WP_343191741.1  0.55      0.68      
PL25_00149  WP_343191740.1  0.41      0.51      
PL25_00150  WP_343158350.1  0.66      0.77      
PL25_00153  WP_343191739.1  0.50      0.68      
PL25_00154  WP_342021176.1  0.59      0.73      
PL25_00155  WP_343191738.1  0.49      0.74      
PL25_00157  WP_343191735.1  0.40      0.63      
PL25_00159  WP_342021171.1  0.60      0.77      
PL25_00160  WP_342021170.1  0.30      0.44      
PL25_00161  WP_342021169.1  0.37      0.53      
PL25_00166  WP_342021168.1  0.32      0.45      

NZ_LDPV02000047.1 vs NZ_JARSFA010000044.1
-----------------------------------------
Query           Target          Identity  Similarity
WP_047981735.1  WP_066194498.1  0.42      0.58      
WP_047981734.1  WP_066194501.1  0.65      0.79      
WP_047981732.1  WP_066194504.1  0.73      0.85      
WP_047981731.1  WP_066194507.1  0.61      0.75      
WP_047981728.1  WP_066194520.1  0.44      0.64      
WP_047981727.1  WP_066194523.1  0.49      0.63      
WP_053071945.1  WP_066194527.1  0.55      0.72      
WP_053351202.1  WP_066194535.1  0.47      0.65      
WP_053071940.1  WP_066194537.1  0.49      0.66      
